BMI_Overweight,BMI_Overwgt8,BMI_Overwgt4,BMI,Avg 0,BMI_Class,HR,Outlier,Number of Records,Avg,Handedness,Height,Name,Weight
Overweight,"O1: [25,25.5)",OvWgt 1,25.064740101,No Batting,c Overwgt,0,Good Data,1,0,Right,73,Eric Wilkins,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.492494518,No Batting,c Overwgt,0,Good Data,1,0,Left,77,Britt Burns,215
Normal,"N3: [22,24)",Normal 2,23.085944830,Batted,b Normal,91,Good Data,1,0.286,Right,73,Lee Lacy,175
Overweight,"O4: [26.5,30)",OvWgt 2,26.775639754,Batted,c Overwgt,160,Good Data,1,0.303,Both,71,Pete Rose,192
Overweight,"O3: [26,26.5)",OvWgt 2,26.443865741,Batted,c Overwgt,28,Good Data,1,0.223,Right,72,Danny Walton,195
Overweight,"O1: [25,25.5)",OvWgt 1,25.102162269,Batted,c Overwgt,9,Good Data,1,0.225,Right,71,Bobby Cox,180
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,6,Good Data,1,0.231,Right,72,Brad Wellman,170
Overweight,"O4: [26.5,30)",OvWgt 2,27.601351351,Batted,c Overwgt,63,Good Data,1,0.224,Right,74,Jeff Newman,215
Normal,"N3: [22,24)",Normal 2,23.867283951,Batted,b Normal,8,Good Data,1,0.244,Right,72,Pedro Gonzalez,176
Normal,"N4: [24,25)",Normal 2,24.777027027,No Batting,b Normal,0,Good Data,1,0,Both,74,Nardi Contreras,193
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,12,Good Data,1,0.226,Right,74,Tommie Reynolds,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.101869355,Batted,c Overwgt,5,Good Data,1,0.277,Right,69,Gene Clines,170
Normal,"N3: [22,24)",Normal 2,23.995733333,Batted,b Normal,159,Good Data,1,0.252,Right,75,Jim Hickman,192
Normal,"N3: [22,24)",Normal 2,23.733552632,Batted,b Normal,0,Good Data,1,0.111,Right,76,Jack Billingham,195
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,Batted,c Overwgt,22,Good Data,1,0.22,Right,71,Jerry Buchek,185
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,21,Good Data,1,0.254,Right,71,Ivan DeJesus,175
Overweight,"O1: [25,25.5)",OvWgt 1,25.290540541,Batted,c Overwgt,1,Good Data,1,0.138,Right,74,Gary Nolan,197
Normal,"N4: [24,25)",Normal 2,24.405141678,No Batting,b Normal,0,Good Data,1,0,Right,73,Gil Patterson,185
Overweight,"O1: [25,25.5)",OvWgt 1,25.064740101,Batted,c Overwgt,108,Good Data,1,0.253,Left,73,Fred Whitfield,190
Overweight,"O3: [26,26.5)",OvWgt 2,26.167763158,Batted,c Overwgt,4,Good Data,1,0.136,Right,76,Larry Dierker,215
Overweight,"O2: [25.5,26)",OvWgt 1,25.675675676,Batted,c Overwgt,3,Good Data,1,0.241,Right,74,Dave Skaggs,200
Normal,"N3: [22,24)",Normal 2,23.745777778,Batted,b Normal,1,Good Data,1,0.183,Right,75,Dick Ruthven,190
Normal,"N4: [24,25)",Normal 2,24.370666667,No Batting,b Normal,0,Good Data,1,0,Left,75,Jerry Garvin,195
Normal,"N3: [22,24)",Normal 2,23.75,No Batting,b Normal,0,Good Data,1,0,Right,74,Steve Eddy,185
Normal,"N4: [24,25)",Normal 2,24.265285996,Batted,b Normal,442,Good Data,1,0.236,Right,78,Dave Kingman,210
Overweight,"O3: [26,26.5)",OvWgt 2,26.078357469,Batted,c Overwgt,102,Good Data,1,0.264,Right,71,Eric Soderholm,187
Overweight,"O3: [26,26.5)",OvWgt 2,26.085343228,No Batting,c Overwgt,0,Good Data,1,0,Left,77,Kevin Mmahat,220
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,60,Good Data,1,0.224,Right,72,Ed Brinkman,170
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,61,Good Data,1,0.239,Left,71,Wayne Garrett,175
Normal,"N3: [22,24)",Normal 2,23.108108108,Batted,b Normal,7,Good Data,1,0.259,Left,74,Tony Muser,180
Normal,"N4: [24,25)",Normal 2,24.342105263,No Batting,b Normal,0,Good Data,1,0,Right,76,Jim Siwy,200
Overweight,"O3: [26,26.5)",OvWgt 2,26.245333333,No Batting,c Overwgt,0,Good Data,1,0,Right,75,Bud Anderson,210
Overweight,"O2: [25.5,26)",OvWgt 1,25.824489796,Batted,c Overwgt,17,Good Data,1,0.219,Right,70,Ted Ford,180
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,No Batting,c Overwgt,0,Good Data,1,0,Left,72,Kevin Stanfield,190
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,9,Good Data,1,0.248,Left,72,Jim Lyttle,180
Normal,"N2: [22,23)",Normal 1,22.516447368,No Batting,b Normal,0,Good Data,1,0,Right,76,John Butcher,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,No Batting,c Overwgt,0,Good Data,1,0,Right,73,Jerry Ujdur,195
Normal,"N4: [24,25)",Normal 2,24.370666667,Batted,b Normal,5,Good Data,1,0.262,Left,75,Scot Thompson,195
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,9,Good Data,1,0.274,Left,70,Gene Locklear,165
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,Batted,c Overwgt,87,Good Data,1,0.255,Right,71,Bo Diaz,185
Overweight,"O1: [25,25.5)",OvWgt 1,25.397185465,Batted,c Overwgt,36,Good Data,1,0.266,Both,69,Bump Wills,172
Normal,"N4: [24,25)",Normal 2,24.950657895,No Batting,b Normal,0,Good Data,1,0,Right,76,Brian Denman,205
Overweight,"O4: [26.5,30)",OvWgt 2,27.799961420,Batted,c Overwgt,63,Good Data,1,0.255,Left,72,Pat Putnam,205
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,27,Good Data,1,0.236,Right,72,Kurt Bevacqua,180
Normal,"N4: [24,25)",Normal 2,24.995555556,No Batting,b Normal,0,Good Data,1,0,Left,75,Bob Fallon,200
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,24,Good Data,1,0.23,Right,73,Syd O'Brien,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,185,Good Data,1,0.279,Left,73,Chris Chambliss,195
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,21,Good Data,1,0.225,Left,73,Tom Satriano,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.675675676,Batted,c Overwgt,144,Good Data,1,0.266,Right,74,Jeffrey Leonard,200
Normal,"N1: [19,22)",Normal 1,21.894663757,Batted,b Normal,6,Good Data,1,0.217,Right,71,Dal Maxvill,157
Overweight,"O1: [25,25.5)",OvWgt 1,25.074128863,No Batting,c Overwgt,0,Good Data,1,0,Right,78,Steve Curry,217
Normal,"N2: [22,23)",Normal 1,22.886998530,Batted,b Normal,46,Good Data,1,0.278,Right,69,Cesar Tovar,155
Normal,"N2: [22,23)",Normal 1,22.426346406,Batted,b Normal,0,Good Data,1,0.11,Both,73,Mickey Lolich,170
Normal,"N3: [22,24)",Normal 2,23.108108108,No Batting,b Normal,0,Good Data,1,0,Both,74,Ray Chadwick,180
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,9,Good Data,1,0.211,Right,72,Jack Heidemann,175
Overweight,"O4: [26.5,30)",OvWgt 2,26.541836735,Batted,c Overwgt,77,Good Data,1,0.269,Right,70,Rich Rollins,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.682422689,Batted,c Overwgt,41,Good Data,1,0.256,Left,79,Walt Bond,228
Overweight,"O4: [26.5,30)",OvWgt 2,27.259183673,Batted,c Overwgt,66,Good Data,1,0.271,Right,70,Merv Rettenmund,190
Overweight,"O4: [26.5,30)",OvWgt 2,27.141447368,No Batting,c Overwgt,0,Good Data,1,0,Right,76,Bryan Clutterbuck,223
Normal,"N4: [24,25)",Normal 2,24.391891892,Batted,b Normal,30,Good Data,1,0.236,Right,74,Byron Browne,190
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,18,Good Data,1,0.216,Right,72,Hector Torres,175
Overweight,"O4: [26.5,30)",OvWgt 2,26.628787879,Batted,c Overwgt,33,Good Data,1,0.27,Right,66,Walt Williams,165
Overweight,"O3: [26,26.5)",OvWgt 2,26.317567568,Batted,c Overwgt,2,Good Data,1,0.119,Right,74,Jerry Koosman,205
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,20,Good Data,1,0.233,Right,72,Steve Lombardozzi,175
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,50,Good Data,1,0.252,Right,72,Joe Azcue,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.102162269,Batted,c Overwgt,18,Good Data,1,0.261,Right,71,Elliott Maddox,180
Normal,"N3: [22,24)",Normal 2,23.108108108,Batted,b Normal,37,Good Data,1,0.252,Left,74,Omar Moreno,180
Normal,"N3: [22,24)",Normal 2,23.085944830,Batted,b Normal,78,Good Data,1,0.257,Right,73,Julian Javier,175
Normal,"N1: [19,22)",Normal 1,21.107149559,No Batting,b Normal,0,Good Data,1,0,Left,73,Tony Ferreira,160
Normal,"N3: [22,24)",Normal 2,23.625288805,Batted,b Normal,4,Good Data,1,0.232,Right,69,Elio Chacon,160
Overweight,"O1: [25,25.5)",OvWgt 1,25.107142857,Batted,c Overwgt,35,Good Data,1,0.212,Both,70,Rusty Torres,175
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,46,Good Data,1,0.26,Right,72,John Stearns,185
Normal,"N2: [22,23)",Normal 1,22.955102041,Batted,b Normal,47,Good Data,1,0.233,Right,70,Larry Brown,160
Normal,"N2: [22,23)",Normal 1,22.375578704,Batted,b Normal,4,Good Data,1,0.18,Right,72,Tommy Dean,165
Normal,"N3: [22,24)",Normal 2,23.995733333,No Batting,b Normal,0,Good Data,1,0,Left,75,Bryan Oelkers,192
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,No Batting,c Overwgt,0,Good Data,1,0,Left,74,Kevin Bearse,195
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,0,Good Data,1,0.243,Both,72,Marty Martinez,170
Normal,"N3: [22,24)",Normal 2,23.75,Batted,b Normal,10,Good Data,1,0.263,Left,74,Bruce Boisclair,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.559210526,Batted,c Overwgt,246,Good Data,1,0.282,Both,76,Ken Singleton,210
Normal,"N3: [22,24)",Normal 2,23.010315414,Batted,b Normal,160,Good Data,1,0.255,Right,71,Frank White,165
Overweight,"O4: [26.5,30)",OvWgt 2,27.259183673,Batted,c Overwgt,7,Good Data,1,0.235,Left,70,Jim Fairey,190
Normal,"N3: [22,24)",Normal 2,23.731674383,No Batting,b Normal,0,Good Data,1,0,Right,72,Jose Roman,175
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,71,Good Data,1,0.246,Right,70,Tom Brookens,165
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,61,Good Data,1,0.249,Left,73,Gary Thomasson,180
Normal,"N3: [22,24)",Normal 2,23.745543254,No Batting,b Normal,0,Good Data,1,0,Right,73,Mike Trujillo,180
Normal,"N3: [22,24)",Normal 2,23.125,No Batting,b Normal,0,Good Data,1,0,Right,76,Albert Williams,190
Normal,"N1: [19,22)",Normal 1,20.934210526,No Batting,b Normal,0,Good Data,1,0,Right,76,Oswaldo Peraza,172
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,78,Good Data,1,0.251,Right,72,Otto Velez,170
Normal,"N2: [22,23)",Normal 1,22.239969136,Batted,b Normal,17,Good Data,1,0.249,Both,72,Tony Scott,164
Normal,"N3: [22,24)",Normal 2,23.010315414,Batted,b Normal,15,Good Data,1,0.175,Right,71,Ray Oyler,165
Normal,"N4: [24,25)",Normal 2,24.899645809,No Batting,b Normal,0,Good Data,1,0,Right,77,Barry Cort,210
Overweight,"O2: [25.5,26)",OvWgt 1,25.840159630,Batted,c Overwgt,67,Good Data,1,0.283,Left,69,Floyd Robinson,175
Overweight,"O1: [25,25.5)",OvWgt 1,25.102162269,Batted,c Overwgt,5,Good Data,1,0.21,Both,71,Steve Jeltz,180
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,149,Good Data,1,0.293,Left,71,Lou Brock,170
Normal,"N2: [22,23)",Normal 1,22.955102041,No Batting,b Normal,0,Good Data,1,0,Right,70,Bill Wilkinson,160
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,4,Good Data,1,0.216,Both,72,Joe Lovitto,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.559210526,No Batting,c Overwgt,0,Good Data,1,0,Right,76,Mike Loynd,210
Overweight,"O1: [25,25.5)",OvWgt 1,25.107142857,Batted,c Overwgt,16,Good Data,1,0.229,Right,70,Wayne Comer,175
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,32,Good Data,1,0.272,Both,71,Dave Collins,175
Overweight,"O1: [25,25.5)",OvWgt 1,25.102162269,Batted,c Overwgt,39,Good Data,1,0.238,Right,71,Ed Spiezio,180
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,210,Good Data,1,0.251,Right,72,Rico Petrocelli,175
Normal,"N4: [24,25)",Normal 2,24.932820417,Batted,b Normal,22,Good Data,1,0.227,Left,73,Johnny Lewis,189
Normal,"N1: [19,22)",Normal 1,21.421052632,Batted,b Normal,15,Good Data,1,0.207,Right,76,Dick Simpson,176
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,31,Good Data,1,0.248,Left,72,Ken Boswell,170
Normal,"N3: [22,24)",Normal 2,23.745777778,Batted,b Normal,156,Good Data,1,0.248,Right,75,Ken McMullen,190
Normal,"N4: [24,25)",Normal 2,24.405141678,No Batting,b Normal,0,Good Data,1,0,Both,73,Randy Scarbery,185
Overweight,"O3: [26,26.5)",OvWgt 2,26.317567568,Batted,c Overwgt,20,Good Data,1,0.216,Right,74,Steve Swisher,205
Overweight,"O2: [25.5,26)",OvWgt 1,25.907707098,No Batting,c Overwgt,0,Good Data,1,0,Right,79,Ben Callahan,230
Normal,"N3: [22,24)",Normal 2,23.565095156,Batted,b Normal,16,Good Data,1,0.248,Right,68,Dick Howser,155
Normal,"N3: [22,24)",Normal 2,23.625288805,Batted,b Normal,3,Good Data,1,0.242,Both,69,Manny Castillo,160
Normal,"N2: [22,23)",Normal 1,22.426346406,Batted,b Normal,2,Good Data,1,0.24,Both,73,Mike Ramsey,170
Overweight,"O2: [25.5,26)",OvWgt 1,25.988177895,Batted,c Overwgt,86,Good Data,1,0.268,Left,73,Willie Crawford,197
Overweight,"O3: [26,26.5)",OvWgt 2,26.217813926,No Batting,c Overwgt,0,Good Data,1,0,Right,71,Bobby Cuellar,188
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,18,Good Data,1,0.242,Right,72,Willie Norwood,185
Normal,"N4: [24,25)",Normal 2,24.843030901,No Batting,b Normal,0,Good Data,1,0,Left,78,Mike Jones,215
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,11,Good Data,1,0.277,Left,72,Jeff Stone,175
Normal,"N1: [19,22)",Normal 1,20.341435185,No Batting,b Normal,0,Good Data,1,0,Right,72,Ramon Manon,150
Overweight,"O3: [26,26.5)",OvWgt 2,26.120097579,Batted,c Overwgt,65,Good Data,1,0.223,Left,73,Joe Lahoud,198
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,9,Good Data,1,0.255,Left,71,Tim Flannery,175
Overweight,"O2: [25.5,26)",OvWgt 1,25.724338525,Batted,c Overwgt,21,Good Data,1,0.229,Both,73,Dave McKay,195
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,No Batting,c Overwgt,0,Good Data,1,0,Right,75,John Trautwein,205
Normal,"N4: [24,25)",Normal 2,24.306797099,No Batting,b Normal,0,Good Data,1,0,Right,77,Andy Replogle,205
Normal,"N2: [22,23)",Normal 1,22.496,No Batting,b Normal,0,Good Data,1,0,Left,75,Zach Crouch,180
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,38,Good Data,1,0.251,Right,73,Benny Ayala,185
Normal,"N3: [22,24)",Normal 2,23.733552632,No Batting,b Normal,0,Good Data,1,0,Right,76,Ron Romanick,195
Normal,"N2: [22,23)",Normal 1,22.955102041,Batted,b Normal,7,Good Data,1,0.287,Left,70,Greg Gross,160
Overweight,"O4: [26.5,30)",OvWgt 2,27.495111111,No Batting,c Overwgt,0,Good Data,1,0,Left,75,Bruce Tanner,220
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,8,Good Data,1,0.227,Right,72,Sal Butera,190
Normal,"N3: [22,24)",Normal 2,23.672448980,Batted,b Normal,30,Good Data,1,0.245,Left,70,Jack Brohamer,165
Normal,"N4: [24,25)",Normal 2,24.389795918,Batted,b Normal,30,Good Data,1,0.273,Left,70,Von Joshua,170
Normal,"N4: [24,25)",Normal 2,24.125967070,Batted,b Normal,42,Good Data,1,0.253,Left,71,Eddie Milner,173
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,18,Good Data,1,0.244,Right,73,Johnny Jeter,180
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,2,Good Data,1,0.212,Right,72,Angel Salazar,180
Normal,"N3: [22,24)",Normal 2,23.085944830,Batted,b Normal,220,Good Data,1,0.304,Left,73,Tony Oliva,175
Normal,"N3: [22,24)",Normal 2,23.745777778,Batted,b Normal,91,Good Data,1,0.256,Right,75,Cito Gaston,190
Normal,"N2: [22,23)",Normal 1,22.955102041,Batted,b Normal,54,Good Data,1,0.263,Right,70,Cookie Rojas,160
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,6,Good Data,1,0.195,Right,71,Rich Morales,170
Normal,"N3: [22,24)",Normal 2,23.125,No Batting,b Normal,0,Good Data,1,0,Right,76,Dave Ford,190
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,121,Good Data,1,0.27,Right,73,Dan Ford,185
Overweight,"O1: [25,25.5)",OvWgt 1,25.107142857,No Batting,c Overwgt,0,Good Data,1,0,Both,70,Barry Raziano,175
Overweight,"O4: [26.5,30)",OvWgt 2,28.940978786,Batted,c Overwgt,44,Good Data,1,0.243,Right,69,Darryl Motley,196
Normal,"N3: [22,24)",Normal 2,23.745543254,Batted,b Normal,98,Good Data,1,0.243,Right,73,Ozzie Virgil,180
Overweight,"O3: [26,26.5)",OvWgt 2,26.217813926,Batted,c Overwgt,14,Good Data,1,0.25,Left,71,Johnny Oates,188
Normal,"N3: [22,24)",Normal 2,23.731674383,No Batting,b Normal,0,Good Data,1,0,Left,72,Pat Underwood,175
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,11,Good Data,1,0.24,Left,72,Mike Phillips,170
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,342,Good Data,1,0.277,Right,72,Ron Santo,190
Normal,"N3: [22,24)",Normal 2,23.085944830,Batted,b Normal,102,Good Data,1,0.267,Left,73,Jay Johnstone,175
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,Batted,c Overwgt,170,Good Data,1,0.278,Right,71,Jim Ray Hart,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,Batted,c Overwgt,34,Good Data,1,0.223,Right,75,Marc Hill,205
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,No Batting,c Overwgt,0,Good Data,1,0,Left,72,Joel McKeon,185
Normal,"N1: [19,22)",Normal 1,21.871111111,No Batting,b Normal,0,Good Data,1,0,Right,75,Danny Fife,175
Normal,"N2: [22,23)",Normal 1,22.955102041,Batted,b Normal,31,Good Data,1,0.249,Right,70,Chico Salmon,160
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,1,Good Data,1,0.156,Right,73,Joe Niekro,185
Overweight,"O1: [25,25.5)",OvWgt 1,25.064740101,Batted,c Overwgt,49,Good Data,1,0.235,Right,73,Andy Etchebarren,190
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,58,Good Data,1,0.255,Right,72,Ken Berry,175
Normal,"N1: [19,22)",Normal 1,19.898648649,Batted,b Normal,101,Good Data,1,0.267,Right,74,Dave Concepcion,155
Overweight,"O2: [25.5,26)",OvWgt 1,25.799444555,Batted,c Overwgt,7,Good Data,1,0.264,Right,71,Junior Moore,185
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,4,Good Data,1,0.226,Right,72,Mike Richardt,170
Overweight,"O1: [25,25.5)",OvWgt 1,25.087770062,Batted,c Overwgt,38,Good Data,1,0.269,Right,72,Chris Brown,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.845588235,Batted,c Overwgt,54,Good Data,1,0.281,Left,68,Al Bumbry,170
Normal,"N4: [24,25)",Normal 2,24.404879984,Batted,b Normal,2,Good Data,1,0.127,Right,71,Al Downing,175
Overweight,"O2: [25.5,26)",OvWgt 1,25.765817901,Batted,c Overwgt,0,Good Data,1,0.229,Both,72,Bob Didier,190
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,25,Good Data,1,0.233,Left,72,Jake Gibbs,180
Normal,"N3: [22,24)",Normal 2,23.731674383,Batted,b Normal,12,Good Data,1,0.247,Left,72,Garry Hancock,175
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,Batted,c Overwgt,118,Good Data,1,0.261,Left,75,Ed Kranepool,205
Normal,"N4: [24,25)",Normal 2,24.370666667,Batted,b Normal,9,Good Data,1,0.238,Right,75,Rick Rhoden,195
Normal,"N4: [24,25)",Normal 2,24.405141678,Batted,b Normal,1,Good Data,1,0.133,Right,73,Denny McLain,185
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,20,Good Data,1,0.243,Left,71,Chuck Hiller,170
Normal,"N4: [24,25)",Normal 2,24.389795918,Batted,b Normal,130,Good Data,1,0.278,Left,70,Jorge Orta,170
Normal,"N3: [22,24)",Normal 2,23.707597699,Batted,b Normal,21,Good Data,1,0.283,Right,71,Dave Cash,170
Overweight,"O1: [25,25.5)",OvWgt 1,25.101869355,Batted,c Overwgt,40,Good Data,1,0.247,Right,69,Bucky Dent,170
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,No Batting,c Overwgt,0,Good Data,1,0,Right,75,Andy Beene,205
Overweight,"O1: [25,25.5)",OvWgt 1,25.064740101,No Batting,c Overwgt,0,Good Data,1,0,Left,73,Bruce Robbins,190
Overweight,"O1: [25,25.5)",OvWgt 1,25.101869355,Batted,c Overwgt,103,Good Data,1,0.286,Left,69,Tony Gonzalez,170
Overweight,"O1: [25,25.5)",OvWgt 1,25.102162269,No Batting,c Overwgt,0,Good Data,1,0,Right,71,Leon Hooten,180
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,Batted,c Overwgt,12,Good Data,1,0.215,Right,74,Larry Haney,195
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,40,Good Data,1,0.256,Right,72,Billy Conigliaro,180
Overweight,"O2: [25.5,26)",OvWgt 1,25.620444444,Batted,c Overwgt,121,Good Data,1,0.247,Right,75,Gary Roenicke,205
Overweight,"O1: [25,25.5)",OvWgt 1,25.033783784,Batted,c Overwgt,122,Good Data,1,0.238,Right,74,Don Lock,195
Normal,"N3: [22,24)",Normal 2,23.053626543,Batted,b Normal,40,Good Data,1,0.236,Right,72,Billy Cowan,170
Normal,"N3: [22,24)",Normal 2,23.75,Batted,b Normal,17,Good Data,1,0.23,Both,74,Billy Smith,185
Overweight,"O2: [25.5,26)",OvWgt 1,25.824489796,No Batting,c Overwgt,0,Good Data,1,0,Right,70,Allan Ramirez,180
Normal,"N2: [22,23)",Normal 1,22.466216216,Batted,b Normal,379,Good Data,1,0.279,Right,74,Tony Perez,175
Normal,"N2: [22,23)",Normal 1,22.955102041,Batted,b Normal,23,Good Data,1,0.239,Right,70,Chuck Schilling,160
Overweight,"O1: [25,25.5)",OvWgt 1,25.102162269,Batted,c Overwgt,191,Good Data,1,0.29,Right,71,Hal McRae,180
Overweight,"O4: [26.5,30)",OvWgt 2,26.870222222,Batted,c Overwgt,49,Good Data,1,0.239,Right,75,Dave Roberts,215
Normal,"N3: [22,24)",Normal 2,23.085944830,No Batting,b Normal,0,Good Data,1,0,Right,73,Brian Allard,175
Normal,"N4: [24,25)",Normal 2,24.409722222,Batted,b Normal,74,Good Data,1,0.251,Both,72,Jim Lefebvre,180
Normal,"N3: [22,24)",Normal 2,23.108108108,No Batting,b Normal,0,Good Data,1,0,Right,74,Fernando Arroyo,180
